MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
37665,1962,1,1,,-0.0127,0.03,0.213,0.03,,,,,,0.0326338,0.002,0.001723,0.0014,,,,,,0,0.004774,0,0.002
37666,1962,1,2,,-0.0159,0.03,0.2141,0.03,,,,,,0.0320547,0.002,0.001669,0.0014,,,,,,0,0.004774,0,0.002
37667,1962,1,3,,-0.019,0.03,0.2152,0.03,,,,,,0.0315526,0.002,0.001582,0.0014,,,,,,0,0.004774,0,0.002
37668,1962,1,4,,-0.021999,0.03,0.216301,0.03,,,,,,0.0311435,0.002,0.001496,0.0014,,,,,,0,0.004774,0,0.002
37669,1962,1,5,,-0.024799,0.03,0.217301,0.03,,,,,,0.0308154,0.002,0.001416,0.0014,,,,,,0,0.004774,0,0.002
37670,1962,1,6,,-0.027599,0.03,0.218301,0.03,,,,,,0.0305353,0.002,0.001382,0.0014,,,,,,0,0.004774,0,0.002
37671,1962,1,7,,-0.030199,0.03,0.219301,0.03,,,,,,0.0302682,0.002,0.001413,0.0014,,,,,,0,0.004774,0,0.002
37672,1962,1,8,,-0.032798,0.03,0.220202,0.03,,,,,,0.029928,0.002,0.001505,0.0014,,,,,,0,0.004774,0,0.002
37673,1962,1,9,,-0.035198,0.03,0.221102,0.03,,,,,,0.0294869,0.002,0.001628,0.0014,,,,,,0,0.004774,0,0.002
37674,1962,1,10,,-0.037498,0.03,0.222002,0.03,,,,,,0.0289268,0.002,0.001738,0.0014,,,,,,0,0.004774,0,0.002
37675,1962,1,11,,-0.039697,0.03,0.222803,0.03,,,,,,0.0282797,0.002,0.001794,0.0014,,,,,,0,0.004774,0,0.002
37676,1962,1,12,,-0.041797,0.03,0.223703,0.03,,,,,,0.0276136,0.002,0.001774,0.0014,,,,,,0,0.004774,0,0.002
37677,1962,1,13,,-0.043797,0.03,0.224503,0.03,,,,,,0.0270075,0.002,0.001667,0.0014,,,,,,0,0.004774,0,0.002
37678,1962,1,14,,-0.045697,0.03,0.225203,0.03,,,,,,0.0265403,0.002,0.00151,0.0014,,,,,,0,0.004774,0,0.002
37679,1962,1,15,,-0.047496,0.03,0.226004,0.03,,,,,,0.0262572,0.002,0.001312,0.0014,,,,,,0,0.004774,0,0.002
37680,1962,1,16,,-0.049196,0.03,0.226704,0.03,,,,,,0.0261751,0.002,0.001112,0.0014,,,,,,0,0.004774,0,0.002
37681,1962,1,17,,-0.050796,0.03,0.227404,0.03,,,,,,0.026274,0.002,0.000936,0.0014,,,,,,0,0.004774,0,0.002
37682,1962,1,18,,-0.052295,0.03,0.228005,0.03,,,,,,0.0265299,0.002,0.000811,0.0014,,,,,,0,0.004774,0,0.002
37683,1962,1,19,,-0.053595,0.03,0.228705,0.03,,,,,,0.0268868,0.002,0.000733,0.0014,,,,,,0,0.004774,0,0.002
37684,1962,1,20,,-0.054895,0.03,0.229305,0.03,,,,,,0.0273077,0.002,0.000681,0.0014,,,,,,0,0.004774,0,0.002
37685,1962,1,21,,-0.055995,0.03,0.229905,0.03,,,,,,0.0277506,0.002,0.000678,0.0014,,,,,,0,0.004774,0,0.002
37686,1962,1,22,,-0.057094,0.03,0.230506,0.03,,,,,,0.0281834,0.002,0.000721,0.0014,,,,,,0,0.004774,0,0.002
37687,1962,1,23,,-0.057994,0.03,0.231006,0.03,,,,,,0.0285533,0.002,0.00079,0.0014,,,,,,0,0.004774,0,0.002
37688,1962,1,24,,-0.058794,0.03,0.231606,0.03,,,,,,0.0288522,0.002,0.000862,0.0014,,,,,,0,0.004774,0,0.002
