MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
57393,2016,01,06,,,,,,,,,,,,,,,rapid,-94.08,0.30,-9.19,0.01,-0.088,0.119,-0.101,0.010
57394,2016,01,07,,,,,,,,,,,,,,,rapid,-94.13,0.30,-9.11,0.01,-0.080,0.119,-0.143,0.010
57395,2016,01,08,,,,,,,,,,,,,,,rapid,-94.10,0.30,-9.19,0.01,-0.057,0.119,-0.163,0.010
57396,2016,01,09,,,,,,,,,,,,,,,rapid,-93.94,0.30,-9.44,0.15,-0.027,0.119,-0.172,0.150
57397,2016,01,10,,,,,,,,,,,,,,,rapid,-93.68,0.30,-9.69,0.15,-0.010,0.119,-0.171,0.150
57398,2016,01,11,,,,,,,,,,,,,,,rapid,-93.42,0.11,-9.73,0.01,-0.011,0.044,-0.155,0.010
57399,2016,01,12,,,,,,,,,,,,,,,rapid,-93.29,0.11,-9.54,0.01,-0.028,0.044,-0.153,0.010
57400,2016,01,13,,,,,,,,,,,,,,,rapid,-93.32,0.11,-9.29,0.01,-0.044,0.044,-0.192,0.010
57409,2016,01,22,rapid,0.01385,.00009,0.28772,.00009,,,,,rapid,0.041414,0.000035,,,,,,,,,,,
57410,2016,01,23,rapid,0.01113,.00009,0.28874,.00009,,,,,rapid,0.039905,0.000037,,,,,,,,,,,
57411,2016,01,24,rapid,0.00870,.00009,0.28935,.00009,,,,,rapid,0.038367,0.000031,,,,,,,,,,,
57412,2016,01,25,rapid,0.00692,.00009,0.28985,.00009,,,,,rapid,0.036746,0.000026,,,,,,,,,,,
57413,2016,01,26,rapid,0.00570,.00009,0.29060,.00009,,,,,rapid,0.035072,0.000065,,,,,,,,,,,
57414,2016,01,27,rapid,0.00464,.00009,0.29171,.00010,,,,,rapid,0.033421,0.000065,,,,,,,,,,,
57415,2016,01,28,rapid,0.00348,.00009,0.29304,.00009,,,,,rapid,0.031831,0.000055,,,,,,,,,,,
57416,2016,01,29,prediction,0.0023,,0.2945,,,,,,prediction,0.03032,,,,,,,,,,,,
57417,2016,01,30,prediction,0.0010,,0.2959,,,,,,prediction,0.02887,,,,,,,,,,,,
57418,2016,01,31,prediction,-0.0004,,0.2972,,,,,,prediction,0.02751,,,,,,,,,,,,
57419,2016,02,01,prediction,-0.0016,,0.2984,,,,,,prediction,0.02621,,,,,,,,,,,,
57420,2016,02,02,prediction,-0.0027,,0.2997,,,,,,prediction,0.02498,,,,,,,,,,,,
57421,2016,02,03,prediction,-0.0036,,0.3011,,,,,,prediction,0.02383,,,,,,,,,,,,
57422,2016,02,04,prediction,-0.0045,,0.3025,,,,,,prediction,0.02273,,,,,,,,,,,,
57423,2016,02,05,prediction,-0.0054,,0.3040,,,,,,prediction,0.02163,,,,,,,,,,,,
57424,2016,02,06,prediction,-0.0063,,0.3056,,,,,,prediction,0.02049,,,,,,,,,,,,
57425,2016,02,07,prediction,-0.0071,,0.3072,,,,,,prediction,0.01925,,,,,,,,,,,,
57426,2016,02,08,prediction,-0.0080,,0.3088,,,,,,prediction,0.01784,,,,,,,,,,,,
57427,2016,02,09,prediction,-0.0088,,0.3105,,,,,,prediction,0.01621,,,,,,,,,,,,
