MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
57176,2015,06,03,,,,,,,,,,,,,,,rapid,-88.13,0.30,-13.71,0.03,0.199,0.119,0.058,0.030
57177,2015,06,04,,,,,,,,,,,,,,,rapid,-88.01,0.30,-13.86,0.03,0.207,0.119,0.044,0.030
57178,2015,06,05,,,,,,,,,,,,,,,rapid,-88.04,0.30,-13.87,0.03,0.212,0.119,0.036,0.030
57179,2015,06,06,,,,,,,,,,,,,,,rapid,-88.31,0.30,-13.75,0.04,0.211,0.119,0.015,0.040
57180,2015,06,07,,,,,,,,,,,,,,,rapid,-88.65,0.30,-13.59,0.04,0.220,0.119,-0.007,0.040
57181,2015,06,08,,,,,,,,,,,,,,,rapid,-88.81,0.30,-13.50,0.04,0.241,0.119,-0.038,0.040
57182,2015,06,09,,,,,,,,,,,,,,,rapid,-88.67,0.30,-13.45,0.04,0.262,0.119,-0.052,0.040
57183,2015,06,10,,,,,,,,,,,,,,,rapid,-88.32,0.30,-13.38,0.04,0.284,0.119,-0.073,0.040
57199,2015,06,26,rapid,0.13399,.00009,0.45114,.00009,,,,,rapid,-0.672959,0.000017,,,,,,,,,,,
57200,2015,06,27,rapid,0.13616,.00009,0.45077,.00009,,,,,rapid,-0.673813,0.000008,,,,,,,,,,,
57201,2015,06,28,rapid,0.13793,.00009,0.45030,.00009,,,,,rapid,-0.674647,0.000006,,,,,,,,,,,
57202,2015,06,29,rapid,0.13948,.00009,0.44965,.00009,,,,,rapid,-0.675410,0.000004,,,,,,,,,,,
57203,2015,06,30,rapid,0.14086,.00009,0.44892,.00009,,,,,rapid,-0.676091,0.000065,,,,,,,,,,,
57204,2015,07,01,rapid,0.14217,.00009,0.44814,.00009,,,,,rapid,0.323283,0.000065,,,,,,,,,,,
57205,2015,07,02,rapid,0.14359,.00009,0.44739,.00009,,,,,rapid,0.322638,0.000055,,,,,,,,,,,
57206,2015,07,03,prediction,0.1452,,0.4467,,,,,,prediction,0.32190,,,,,,,,,,,,
57207,2015,07,04,prediction,0.1469,,0.4461,,,,,,prediction,0.32100,,,,,,,,,,,,
57208,2015,07,05,prediction,0.1486,,0.4455,,,,,,prediction,0.31991,,,,,,,,,,,,
57209,2015,07,06,prediction,0.1503,,0.4449,,,,,,prediction,0.31866,,,,,,,,,,,,
57210,2015,07,07,prediction,0.1519,,0.4442,,,,,,prediction,0.31732,,,,,,,,,,,,
57211,2015,07,08,prediction,0.1536,,0.4435,,,,,,prediction,0.31596,,,,,,,,,,,,
57212,2015,07,09,prediction,0.1552,,0.4428,,,,,,prediction,0.31462,,,,,,,,,,,,
57213,2015,07,10,prediction,0.1569,,0.4421,,,,,,prediction,0.31338,,,,,,,,,,,,
57214,2015,07,11,prediction,0.1585,,0.4413,,,,,,prediction,0.31228,,,,,,,,,,,,
57215,2015,07,12,prediction,0.1601,,0.4406,,,,,,prediction,0.31135,,,,,,,,,,,,
57216,2015,07,13,prediction,0.1618,,0.4399,,,,,,prediction,0.31056,,,,,,,,,,,,
57217,2015,07,14,prediction,0.1634,,0.4391,,,,,,prediction,0.30990,,,,,,,,,,,,
57218,2015,07,15,prediction,0.1650,,0.4383,,,,,,prediction,0.30934,,,,,,,,,,,,
57219,2015,07,16,prediction,0.1665,,0.4375,,,,,,prediction,0.30880,,,,,,,,,,,,
57220,2015,07,17,prediction,0.1681,,0.4367,,,,,,prediction,0.30823,,,,,,,,,,,,
57221,2015,07,18,prediction,0.1697,,0.4359,,,,,,prediction,0.30764,,,,,,,,,,,,
57222,2015,07,19,prediction,0.1712,,0.4350,,,,,,prediction,0.30704,,,,,,,,,,,,
57223,2015,07,20,prediction,0.1727,,0.4341,,,,,,prediction,0.30643,,,,,,,,,,,,
57224,2015,07,21,prediction,0.1742,,0.4332,,,,,,prediction,0.30584,,,,,,,,,,,,
57225,2015,07,22,prediction,0.1757,,0.4323,,,,,,prediction,0.30531,,,,,,,,,,,,
57226,2015,07,23,prediction,0.1772,,0.4313,,,,,,prediction,0.30483,,,,,,,,,,,,
57227,2015,07,24,prediction,0.1786,,0.4303,,,,,,prediction,0.30443,,,,,,,,,,,,
57228,2015,07,25,prediction,0.1801,,0.4293,,,,,,prediction,0.30410,,,,,,,,,,,,
57229,2015,07,26,prediction,0.1815,,0.4283,,,,,,prediction,0.30384,,,,,,,,,,,,
57230,2015,07,27,prediction,0.1829,,0.4273,,,,,,prediction,0.30363,,,,,,,,,,,,
57231,2015,07,28,prediction,0.1842,,0.4262,,,,,,prediction,0.30344,,,,,,,,,,,,
57232,2015,07,29,prediction,0.1856,,0.4251,,,,,,prediction,0.30325,,,,,,,,,,,,
57233,2015,07,30,prediction,0.1869,,0.4240,,,,,,prediction,0.30300,,,,,,,,,,,,
57234,2015,07,31,prediction,0.1883,,0.4229,,,,,,prediction,0.30264,,,,,,,,,,,,
57235,2015,08,01,prediction,0.1896,,0.4217,,,,,,prediction,0.30212,,,,,,,,,,,,
57236,2015,08,02,prediction,0.1908,,0.4206,,,,,,prediction,0.30142,,,,,,,,,,,,
57237,2015,08,03,prediction,0.1921,,0.4194,,,,,,prediction,0.30058,,,,,,,,,,,,
57238,2015,08,04,prediction,0.1933,,0.4182,,,,,,prediction,0.29966,,,,,,,,,,,,
