MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
57736,2016,12,14,,,,,,,,,,,,,,,rapid,-100.84,0.12,-9.61,0.08,-0.044,0.048,-0.224,0.080
57737,2016,12,15,,,,,,,,,,,,,,,rapid,-100.82,0.12,-9.41,0.08,-0.041,0.048,-0.218,0.080
57738,2016,12,16,,,,,,,,,,,,,,,rapid,-100.54,0.12,-9.23,0.08,-0.033,0.048,-0.227,0.080
57739,2016,12,17,,,,,,,,,,,,,,,rapid,-100.03,0.30,-9.28,0.15,-0.015,0.119,-0.230,0.150
57740,2016,12,18,,,,,,,,,,,,,,,rapid,-99.55,0.30,-9.47,0.15,0.008,0.119,-0.220,0.150
57741,2016,12,19,,,,,,,,,,,,,,,rapid,-99.39,0.15,-9.55,0.03,0.016,0.060,-0.203,0.030
57742,2016,12,20,,,,,,,,,,,,,,,rapid,-99.49,0.15,-9.41,0.03,0.016,0.060,-0.174,0.030
57743,2016,12,21,,,,,,,,,,,,,,,rapid,-99.59,0.15,-9.18,0.03,0.011,0.060,-0.142,0.030
57752,2016,12,30,rapid,0.08296,.00009,0.26356,.00010,,,,,rapid,-0.407075,0.000020,,,,,,,,,,,
57753,2016,12,31,rapid,0.08151,.00009,0.26320,.00010,,,,,rapid,-0.407858,0.000021,,,,,,,,,,,
57754,2017,01,01,rapid,0.08065,.00009,0.26323,.00010,,,,,rapid,0.591162,0.000018,,,,,,,,,,,
57755,2017,01,02,rapid,0.08041,.00009,0.26355,.00009,,,,,rapid,0.590057,0.000018,,,,,,,,,,,
57756,2017,01,03,rapid,0.08038,.00009,0.26395,.00009,,,,,rapid,0.588855,0.000017,,,,,,,,,,,
57757,2017,01,04,rapid,0.08002,.00009,0.26428,.00009,,,,,rapid,0.587501,0.000017,,,,,,,,,,,
57758,2017,01,05,rapid,0.07903,.00010,0.26469,.00009,,,,,rapid,0.585980,0.000016,,,,,,,,,,,
57759,2017,01,06,prediction,0.0777,,0.2651,,,,,,prediction,0.58439,,,,,,,,,,,,
57760,2017,01,07,prediction,0.0761,,0.2656,,,,,,prediction,0.58280,,,,,,,,,,,,
57761,2017,01,08,prediction,0.0743,,0.2660,,,,,,prediction,0.58129,,,,,,,,,,,,
57762,2017,01,09,prediction,0.0727,,0.2665,,,,,,prediction,0.57989,,,,,,,,,,,,
57763,2017,01,10,prediction,0.0711,,0.2669,,,,,,prediction,0.57863,,,,,,,,,,,,
57764,2017,01,11,prediction,0.0695,,0.2674,,,,,,prediction,0.57752,,,,,,,,,,,,
57765,2017,01,12,prediction,0.0679,,0.2680,,,,,,prediction,0.57651,,,,,,,,,,,,
57766,2017,01,13,prediction,0.0663,,0.2687,,,,,,prediction,0.57550,,,,,,,,,,,,
57767,2017,01,14,prediction,0.0647,,0.2694,,,,,,prediction,0.57444,,,,,,,,,,,,
57768,2017,01,15,prediction,0.0630,,0.2700,,,,,,prediction,0.57325,,,,,,,,,,,,
57769,2017,01,16,prediction,0.0614,,0.2707,,,,,,prediction,0.57196,,,,,,,,,,,,
57770,2017,01,17,prediction,0.0598,,0.2714,,,,,,prediction,0.57061,,,,,,,,,,,,
57771,2017,01,18,prediction,0.0582,,0.2721,,,,,,prediction,0.56926,,,,,,,,,,,,
57772,2017,01,19,prediction,0.0566,,0.2728,,,,,,prediction,0.56795,,,,,,,,,,,,
57773,2017,01,20,prediction,0.0551,,0.2736,,,,,,prediction,0.56671,,,,,,,,,,,,
57774,2017,01,21,prediction,0.0536,,0.2743,,,,,,prediction,0.56555,,,,,,,,,,,,
57775,2017,01,22,prediction,0.0522,,0.2750,,,,,,prediction,0.56448,,,,,,,,,,,,
57776,2017,01,23,prediction,0.0508,,0.2758,,,,,,prediction,0.56351,,,,,,,,,,,,
57777,2017,01,24,prediction,0.0495,,0.2765,,,,,,prediction,0.56260,,,,,,,,,,,,
57778,2017,01,25,prediction,0.0483,,0.2773,,,,,,prediction,0.56174,,,,,,,,,,,,
57779,2017,01,26,prediction,0.0471,,0.2782,,,,,,prediction,0.56088,,,,,,,,,,,,
57780,2017,01,27,prediction,0.0459,,0.2791,,,,,,prediction,0.55997,,,,,,,,,,,,
57781,2017,01,28,prediction,0.0447,,0.2800,,,,,,prediction,0.55897,,,,,,,,,,,,
57782,2017,01,29,prediction,0.0434,,0.2810,,,,,,prediction,0.55785,,,,,,,,,,,,
57783,2017,01,30,prediction,0.0421,,0.2820,,,,,,prediction,0.55656,,,,,,,,,,,,
57784,2017,01,31,prediction,0.0408,,0.2831,,,,,,prediction,0.55511,,,,,,,,,,,,
57785,2017,02,01,prediction,0.0396,,0.2841,,,,,,prediction,0.55354,,,,,,,,,,,,
57786,2017,02,02,prediction,0.0383,,0.2852,,,,,,prediction,0.55189,,,,,,,,,,,,
57787,2017,02,03,prediction,0.0371,,0.2862,,,,,,prediction,0.55021,,,,,,,,,,,,
57788,2017,02,04,prediction,0.0359,,0.2873,,,,,,prediction,0.54858,,,,,,,,,,,,
57789,2017,02,05,prediction,0.0348,,0.2885,,,,,,prediction,0.54702,,,,,,,,,,,,
57790,2017,02,06,prediction,0.0336,,0.2896,,,,,,prediction,0.54557,,,,,,,,,,,,
57791,2017,02,07,prediction,0.0325,,0.2908,,,,,,prediction,0.54420,,,,,,,,,,,,
57792,2017,02,08,prediction,0.0313,,0.2920,,,,,,prediction,0.54289,,,,,,,,,,,,
57793,2017,02,09,prediction,0.0302,,0.2932,,,,,,prediction,0.54158,,,,,,,,,,,,
57794,2017,02,10,prediction,0.0292,,0.2944,,,,,,prediction,0.54021,,,,,,,,,,,,
57795,2017,02,11,prediction,0.0281,,0.2956,,,,,,prediction,0.53878,,,,,,,,,,,,
57796,2017,02,12,prediction,0.0271,,0.2968,,,,,,prediction,0.53726,,,,,,,,,,,,
57797,2017,02,13,prediction,0.0261,,0.2981,,,,,,prediction,0.53567,,,,,,,,,,,,
57798,2017,02,14,prediction,0.0251,,0.2993,,,,,,prediction,0.53406,,,,,,,,,,,,
