MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
58080,2017,11,23,,,,,,,,,,,,,,,rapid,-104.48,0.15,-9.62,0.04,0.276,0.060,0.026,0.040
58081,2017,11,24,,,,,,,,,,,,,,,rapid,-104.63,0.15,-9.55,0.04,0.259,0.060,0.039,0.040
58082,2017,11,25,,,,,,,,,,,,,,,rapid,-104.78,0.14,-9.48,0.06,0.246,0.056,0.030,0.060
58083,2017,11,26,,,,,,,,,,,,,,,rapid,-104.69,0.30,-9.34,0.15,0.245,0.119,0.038,0.150
58084,2017,11,27,,,,,,,,,,,,,,,rapid,-104.51,0.30,-9.18,0.15,0.230,0.119,0.046,0.150
58085,2017,11,28,,,,,,,,,,,,,,,rapid,-104.50,0.30,-9.06,0.15,0.203,0.119,0.056,0.150
58086,2017,11,29,,,,,,,,,,,,,,,rapid,-104.66,0.30,-8.98,0.15,0.182,0.119,0.046,0.150
58087,2017,11,30,,,,,,,,,,,,,,,rapid,-104.74,0.30,-8.82,0.15,0.174,0.119,0.035,0.150
58088,2017,12,01,,,,,,,,,,,,,,,rapid,-104.63,0.30,-8.59,0.15,0.183,0.119,0.019,0.150
58089,2017,12,02,,,,,,,,,,,,,,,rapid,-104.55,0.30,-8.46,0.15,0.192,0.119,0.016,0.150
58090,2017,12,03,,,,,,,,,,,,,,,rapid,-104.64,0.30,-8.56,0.15,0.197,0.119,0.037,0.150
58091,2017,12,04,,,,,,,,,,,,,,,rapid,-104.80,0.30,-8.78,0.15,0.185,0.119,0.031,0.150
58092,2017,12,05,,,,,,,,,,,,,,,rapid,-104.82,0.30,-8.82,0.15,0.166,0.119,0.003,0.150
58093,2017,12,06,,,,,,,,,,,,,,,rapid,-104.62,0.30,-8.65,0.15,0.170,0.119,-0.061,0.150
58094,2017,12,07,,,,,,,,,,,,,,,rapid,-104.31,0.30,-8.45,0.15,0.192,0.119,-0.091,0.150
58095,2017,12,08,,,,,,,,,,,,,,,rapid,-104.03,0.30,-8.40,0.15,0.214,0.119,-0.079,0.150
58096,2017,12,09,,,,,,,,,,,,,,,rapid,-103.88,0.30,-8.44,0.15,0.229,0.119,-0.048,0.150
58097,2017,12,10,,,,,,,,,,,,,,,rapid,-103.87,0.30,-8.45,0.15,0.239,0.119,-0.034,0.150
58098,2017,12,11,,,,,,,,,,,,,,,rapid,-103.92,0.30,-8.41,0.15,0.235,0.119,-0.020,0.150
58099,2017,12,12,,,,,,,,,,,,,,,rapid,-103.90,0.30,-8.42,0.15,0.229,0.119,-0.017,0.150
58100,2017,12,13,,,,,,,,,,,,,,,rapid,-103.87,0.30,-8.48,0.15,0.224,0.119,-0.026,0.150
