MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
58555,2019,03,13,,,,,,,,,,,,,,,rapid,-105.32,0.62,-9.79,0.24,0.245,0.247,-0.238,0.237
58556,2019,03,14,,,,,,,,,,,,,,,rapid,-105.25,0.62,-9.81,0.24,0.246,0.247,-0.236,0.237
58557,2019,03,15,,,,,,,,,,,,,,,rapid,-105.25,0.62,-9.77,0.24,0.246,0.247,-0.233,0.237
58571,2019,03,29,rapid,0.04655,.00009,0.38021,.00009,,,,,rapid,-0.116822,0.000028,,,,,,,,,,,
58572,2019,03,30,rapid,0.04716,.00009,0.38130,.00009,,,,,rapid,-0.117547,0.000025,,,,,,,,,,,
58573,2019,03,31,rapid,0.04798,.00009,0.38263,.00009,,,,,rapid,-0.118297,0.000021,,,,,,,,,,,
58574,2019,04,01,rapid,0.04886,.00009,0.38401,.00009,,,,,rapid,-0.119175,0.000016,,,,,,,,,,,
58575,2019,04,02,rapid,0.04975,.00009,0.38527,.00009,,,,,rapid,-0.120157,0.000013,,,,,,,,,,,
58576,2019,04,03,rapid,0.05051,.00009,0.38654,.00009,,,,,rapid,-0.121248,0.000013,,,,,,,,,,,
58577,2019,04,04,rapid,0.05104,.00009,0.38792,.00009,,,,,rapid,-0.122494,0.000055,,,,,,,,,,,
58578,2019,04,05,prediction,0.0515,,0.3892,,,,,,prediction,-0.12379,,,,,,,,,,,,
58579,2019,04,06,prediction,0.0520,,0.3904,,,,,,prediction,-0.12510,,,,,,,,,,,,
58580,2019,04,07,prediction,0.0526,,0.3915,,,,,,prediction,-0.12640,,,,,,,,,,,,
58581,2019,04,08,prediction,0.0533,,0.3926,,,,,,prediction,-0.12767,,,,,,,,,,,,
58582,2019,04,09,prediction,0.0541,,0.3937,,,,,,prediction,-0.12884,,,,,,,,,,,,
58583,2019,04,10,prediction,0.0550,,0.3948,,,,,,prediction,-0.12989,,,,,,,,,,,,
58584,2019,04,11,prediction,0.0559,,0.3958,,,,,,prediction,-0.13081,,,,,,,,,,,,
58585,2019,04,12,prediction,0.0568,,0.3969,,,,,,prediction,-0.13166,,,,,,,,,,,,
58586,2019,04,13,prediction,0.0577,,0.3980,,,,,,prediction,-0.13253,,,,,,,,,,,,
58587,2019,04,14,prediction,0.0587,,0.3991,,,,,,prediction,-0.13352,,,,,,,,,,,,
58588,2019,04,15,prediction,0.0596,,0.4001,,,,,,prediction,-0.13467,,,,,,,,,,,,
58589,2019,04,16,prediction,0.0605,,0.4011,,,,,,prediction,-0.13602,,,,,,,,,,,,
58590,2019,04,17,prediction,0.0616,,0.4020,,,,,,prediction,-0.13756,,,,,,,,,,,,
58591,2019,04,18,prediction,0.0626,,0.4030,,,,,,prediction,-0.13920,,,,,,,,,,,,
58592,2019,04,19,prediction,0.0637,,0.4039,,,,,,prediction,-0.14084,,,,,,,,,,,,
58593,2019,04,20,prediction,0.0649,,0.4048,,,,,,prediction,-0.14236,,,,,,,,,,,,
58594,2019,04,21,prediction,0.0660,,0.4058,,,,,,prediction,-0.14368,,,,,,,,,,,,
58595,2019,04,22,prediction,0.0671,,0.4067,,,,,,prediction,-0.14477,,,,,,,,,,,,
58596,2019,04,23,prediction,0.0683,,0.4076,,,,,,prediction,-0.14564,,,,,,,,,,,,
58597,2019,04,24,prediction,0.0694,,0.4085,,,,,,prediction,-0.14633,,,,,,,,,,,,
58598,2019,04,25,prediction,0.0706,,0.4093,,,,,,prediction,-0.14691,,,,,,,,,,,,
58599,2019,04,26,prediction,0.0718,,0.4101,,,,,,prediction,-0.14744,,,,,,,,,,,,
58600,2019,04,27,prediction,0.0731,,0.4109,,,,,,prediction,-0.14796,,,,,,,,,,,,
58601,2019,04,28,prediction,0.0743,,0.4117,,,,,,prediction,-0.14854,,,,,,,,,,,,
58602,2019,04,29,prediction,0.0756,,0.4125,,,,,,prediction,-0.14919,,,,,,,,,,,,
58603,2019,04,30,prediction,0.0769,,0.4132,,,,,,prediction,-0.14994,,,,,,,,,,,,
58604,2019,05,01,prediction,0.0782,,0.4140,,,,,,prediction,-0.15078,,,,,,,,,,,,
58605,2019,05,02,prediction,0.0795,,0.4147,,,,,,prediction,-0.15170,,,,,,,,,,,,
58606,2019,05,03,prediction,0.0808,,0.4154,,,,,,prediction,-0.15266,,,,,,,,,,,,
58607,2019,05,04,prediction,0.0821,,0.4161,,,,,,prediction,-0.15361,,,,,,,,,,,,
58608,2019,05,05,prediction,0.0835,,0.4167,,,,,,prediction,-0.15450,,,,,,,,,,,,
58609,2019,05,06,prediction,0.0848,,0.4173,,,,,,prediction,-0.15529,,,,,,,,,,,,
58610,2019,05,07,prediction,0.0862,,0.4179,,,,,,prediction,-0.15596,,,,,,,,,,,,
58611,2019,05,08,prediction,0.0876,,0.4185,,,,,,prediction,-0.15650,,,,,,,,,,,,
58612,2019,05,09,prediction,0.0890,,0.4191,,,,,,prediction,-0.15698,,,,,,,,,,,,
58613,2019,05,10,prediction,0.0904,,0.4196,,,,,,prediction,-0.15745,,,,,,,,,,,,
58614,2019,05,11,prediction,0.0919,,0.4202,,,,,,prediction,-0.15800,,,,,,,,,,,,
58615,2019,05,12,prediction,0.0933,,0.4207,,,,,,prediction,-0.15869,,,,,,,,,,,,
58616,2019,05,13,prediction,0.0948,,0.4211,,,,,,prediction,-0.15956,,,,,,,,,,,,
58617,2019,05,14,prediction,0.0962,,0.4216,,,,,,prediction,-0.16061,,,,,,,,,,,,
58618,2019,05,15,prediction,0.0977,,0.4220,,,,,,prediction,-0.16179,,,,,,,,,,,,
58619,2019,05,16,prediction,0.0992,,0.4224,,,,,,prediction,-0.16302,,,,,,,,,,,,
58620,2019,05,17,prediction,0.1007,,0.4228,,,,,,prediction,-0.16419,,,,,,,,,,,,
58621,2019,05,18,prediction,0.1021,,0.4232,,,,,,prediction,-0.16522,,,,,,,,,,,,
58622,2019,05,19,prediction,0.1037,,0.4235,,,,,,prediction,-0.16604,,,,,,,,,,,,
58623,2019,05,20,prediction,0.1052,,0.4238,,,,,,prediction,-0.16666,,,,,,,,,,,,
58624,2019,05,21,prediction,0.1067,,0.4241,,,,,,prediction,-0.16710,,,,,,,,,,,,
58625,2019,05,22,prediction,0.1082,,0.4244,,,,,,prediction,-0.16741,,,,,,,,,,,,
58626,2019,05,23,prediction,0.1097,,0.4246,,,,,,prediction,-0.16764,,,,,,,,,,,,
58627,2019,05,24,prediction,0.1113,,0.4248,,,,,,prediction,-0.16787,,,,,,,,,,,,
58628,2019,05,25,prediction,0.1128,,0.4250,,,,,,prediction,-0.16813,,,,,,,,,,,,
58629,2019,05,26,prediction,0.1144,,0.4252,,,,,,prediction,-0.16847,,,,,,,,,,,,
58630,2019,05,27,prediction,0.1159,,0.4253,,,,,,prediction,-0.16889,,,,,,,,,,,,
58631,2019,05,28,prediction,0.1175,,0.4255,,,,,,prediction,-0.16940,,,,,,,,,,,,
58632,2019,05,29,prediction,0.1190,,0.4256,,,,,,prediction,-0.16999,,,,,,,,,,,,
58633,2019,05,30,prediction,0.1206,,0.4256,,,,,,prediction,-0.17064,,,,,,,,,,,,
58634,2019,05,31,prediction,0.1221,,0.4257,,,,,,prediction,-0.17130,,,,,,,,,,,,
58635,2019,06,01,prediction,0.1237,,0.4257,,,,,,prediction,-0.17192,,,,,,,,,,,,
58636,2019,06,02,prediction,0.1253,,0.4257,,,,,,prediction,-0.17246,,,,,,,,,,,,
58637,2019,06,03,prediction,0.1268,,0.4257,,,,,,prediction,-0.17286,,,,,,,,,,,,
58638,2019,06,04,prediction,0.1284,,0.4256,,,,,,prediction,-0.17313,,,,,,,,,,,,
58639,2019,06,05,prediction,0.1299,,0.4255,,,,,,prediction,-0.17327,,,,,,,,,,,,
58640,2019,06,06,prediction,0.1315,,0.4254,,,,,,prediction,-0.17336,,,,,,,,,,,,
58641,2019,06,07,prediction,0.1331,,0.4253,,,,,,prediction,-0.17347,,,,,,,,,,,,
58642,2019,06,08,prediction,0.1346,,0.4252,,,,,,prediction,-0.17369,,,,,,,,,,,,
58643,2019,06,09,prediction,0.1362,,0.4250,,,,,,prediction,-0.17405,,,,,,,,,,,,
58644,2019,06,10,prediction,0.1377,,0.4248,,,,,,prediction,-0.17457,,,,,,,,,,,,
58645,2019,06,11,prediction,0.1393,,0.4246,,,,,,prediction,-0.17520,,,,,,,,,,,,
58646,2019,06,12,prediction,0.1408,,0.4243,,,,,,prediction,-0.17587,,,,,,,,,,,,
58647,2019,06,13,prediction,0.1424,,0.4241,,,,,,prediction,-0.17650,,,,,,,,,,,,
58648,2019,06,14,prediction,0.1439,,0.4238,,,,,,prediction,-0.17700,,,,,,,,,,,,
58649,2019,06,15,prediction,0.1454,,0.4234,,,,,,prediction,-0.17731,,,,,,,,,,,,
58650,2019,06,16,prediction,0.1470,,0.4231,,,,,,prediction,-0.17742,,,,,,,,,,,,
58651,2019,06,17,prediction,0.1485,,0.4227,,,,,,prediction,-0.17733,,,,,,,,,,,,
58652,2019,06,18,prediction,0.1500,,0.4223,,,,,,prediction,-0.17710,,,,,,,,,,,,
58653,2019,06,19,prediction,0.1515,,0.4219,,,,,,prediction,-0.17678,,,,,,,,,,,,
58654,2019,06,20,prediction,0.1530,,0.4215,,,,,,prediction,-0.17644,,,,,,,,,,,,
58655,2019,06,21,prediction,0.1545,,0.4210,,,,,,prediction,-0.17613,,,,,,,,,,,,
58656,2019,06,22,prediction,0.1560,,0.4205,,,,,,prediction,-0.17589,,,,,,,,,,,,
58657,2019,06,23,prediction,0.1575,,0.4200,,,,,,prediction,-0.17575,,,,,,,,,,,,
58658,2019,06,24,prediction,0.1589,,0.4195,,,,,,prediction,-0.17571,,,,,,,,,,,,
58659,2019,06,25,prediction,0.1604,,0.4189,,,,,,prediction,-0.17575,,,,,,,,,,,,
58660,2019,06,26,prediction,0.1618,,0.4183,,,,,,prediction,-0.17587,,,,,,,,,,,,
58661,2019,06,27,prediction,0.1633,,0.4177,,,,,,prediction,-0.17602,,,,,,,,,,,,
58662,2019,06,28,prediction,0.1647,,0.4171,,,,,,prediction,-0.17616,,,,,,,,,,,,
58663,2019,06,29,prediction,0.1661,,0.4165,,,,,,prediction,-0.17624,,,,,,,,,,,,
58664,2019,06,30,prediction,0.1675,,0.4158,,,,,,prediction,-0.17622,,,,,,,,,,,,
58665,2019,07,01,prediction,0.1689,,0.4151,,,,,,prediction,-0.17607,,,,,,,,,,,,
58666,2019,07,02,prediction,0.1703,,0.4144,,,,,,prediction,-0.17581,,,,,,,,,,,,
58667,2019,07,03,prediction,0.1716,,0.4137,,,,,,prediction,-0.17548,,,,,,,,,,,,
58668,2019,07,04,prediction,0.1730,,0.4129,,,,,,prediction,-0.17517,,,,,,,,,,,,
58669,2019,07,05,prediction,0.1743,,0.4121,,,,,,prediction,-0.17497,,,,,,,,,,,,
58670,2019,07,06,prediction,0.1756,,0.4113,,,,,,prediction,-0.17494,,,,,,,,,,,,
58671,2019,07,07,prediction,0.1769,,0.4105,,,,,,prediction,-0.17508,,,,,,,,,,,,
58672,2019,07,08,prediction,0.1782,,0.4097,,,,,,prediction,-0.17536,,,,,,,,,,,,
58673,2019,07,09,prediction,0.1795,,0.4088,,,,,,prediction,-0.17569,,,,,,,,,,,,
58674,2019,07,10,prediction,0.1807,,0.4079,,,,,,prediction,-0.17598,,,,,,,,,,,,
58675,2019,07,11,prediction,0.1820,,0.4070,,,,,,prediction,-0.17616,,,,,,,,,,,,
58676,2019,07,12,prediction,0.1832,,0.4061,,,,,,prediction,-0.17617,,,,,,,,,,,,
58677,2019,07,13,prediction,0.1844,,0.4052,,,,,,prediction,-0.17598,,,,,,,,,,,,
58678,2019,07,14,prediction,0.1856,,0.4042,,,,,,prediction,-0.17563,,,,,,,,,,,,
58679,2019,07,15,prediction,0.1867,,0.4032,,,,,,prediction,-0.17513,,,,,,,,,,,,
58680,2019,07,16,prediction,0.1879,,0.4022,,,,,,prediction,-0.17454,,,,,,,,,,,,
58681,2019,07,17,prediction,0.1890,,0.4012,,,,,,prediction,-0.17393,,,,,,,,,,,,
58682,2019,07,18,prediction,0.1901,,0.4002,,,,,,prediction,-0.17334,,,,,,,,,,,,
58683,2019,07,19,prediction,0.1912,,0.3992,,,,,,prediction,-0.17282,,,,,,,,,,,,
58684,2019,07,20,prediction,0.1923,,0.3981,,,,,,prediction,-0.17239,,,,,,,,,,,,
58685,2019,07,21,prediction,0.1933,,0.3970,,,,,,prediction,-0.17208,,,,,,,,,,,,
58686,2019,07,22,prediction,0.1943,,0.3959,,,,,,prediction,-0.17186,,,,,,,,,,,,
58687,2019,07,23,prediction,0.1953,,0.3948,,,,,,prediction,-0.17173,,,,,,,,,,,,
