MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
59010,2020,06,10,,,,,,,,,,,,,,,rapid,-107.42,0.25,-10.55,0.12,0.122,0.100,-0.056,0.118
59011,2020,06,11,,,,,,,,,,,,,,,rapid,-107.66,0.25,-10.56,0.12,0.147,0.100,-0.038,0.118
59012,2020,06,12,,,,,,,,,,,,,,,rapid,-107.86,0.25,-10.45,0.12,0.179,0.100,-0.015,0.118
59013,2020,06,13,,,,,,,,,,,,,,,rapid,-107.90,0.28,-10.33,0.13,0.219,0.113,0.012,0.134
59014,2020,06,14,,,,,,,,,,,,,,,rapid,-107.87,0.61,-10.25,0.14,0.264,0.244,0.042,0.141
59015,2020,06,15,,,,,,,,,,,,,,,rapid,-107.96,1.10,-10.11,0.16,0.313,0.438,0.075,0.157
59016,2020,06,16,,,,,,,,,,,,,,,rapid,-108.23,1.10,-9.88,0.16,0.364,0.438,0.110,0.157
59026,2020,06,26,rapid,0.15701,.00009,0.43389,.00009,,,,,rapid,-0.241857,0.000016,,,,,,,,,,,
59027,2020,06,27,rapid,0.15888,.00009,0.43334,.00009,,,,,rapid,-0.241356,0.000014,,,,,,,,,,,
59028,2020,06,28,rapid,0.16084,.00009,0.43278,.00009,,,,,rapid,-0.241028,0.000014,,,,,,,,,,,
59029,2020,06,29,rapid,0.16278,.00009,0.43231,.00009,,,,,rapid,-0.240811,0.000018,,,,,,,,,,,
59030,2020,06,30,rapid,0.16480,.00009,0.43206,.00009,,,,,rapid,-0.240563,0.000019,,,,,,,,,,,
59031,2020,07,01,rapid,0.16680,.00009,0.43163,.00009,,,,,rapid,-0.240129,0.000020,,,,,,,,,,,
59032,2020,07,02,rapid,0.16858,.00009,0.43095,.00009,,,,,rapid,-0.239465,0.000020,,,,,,,,,,,
59033,2020,07,03,prediction,0.1703,,0.4302,,,,,,prediction,-0.23856,,,,,,,,,,,,
59034,2020,07,04,prediction,0.1719,,0.4294,,,,,,prediction,-0.23741,,,,,,,,,,,,
59035,2020,07,05,prediction,0.1734,,0.4286,,,,,,prediction,-0.23608,,,,,,,,,,,,
59036,2020,07,06,prediction,0.1750,,0.4278,,,,,,prediction,-0.23468,,,,,,,,,,,,
59037,2020,07,07,prediction,0.1765,,0.4271,,,,,,prediction,-0.23330,,,,,,,,,,,,
59038,2020,07,08,prediction,0.1780,,0.4263,,,,,,prediction,-0.23199,,,,,,,,,,,,
59039,2020,07,09,prediction,0.1795,,0.4256,,,,,,prediction,-0.23078,,,,,,,,,,,,
59040,2020,07,10,prediction,0.1809,,0.4248,,,,,,prediction,-0.22968,,,,,,,,,,,,
