MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
59199,2020,12,16,,,,,,,,,,,,,,,rapid,-110.95,0.12,-5.97,0.06,-0.005,0.046,-0.074,0.063
59200,2020,12,17,,,,,,,,,,,,,,,rapid,-110.68,0.12,-6.01,0.06,-0.023,0.046,-0.063,0.063
59201,2020,12,18,,,,,,,,,,,,,,,rapid,-110.42,0.12,-6.21,0.06,-0.039,0.046,-0.053,0.063
59215,2021,01,01,rapid,0.06870,.00009,0.30420,.00009,,,,,rapid,-0.175360,0.000008,,,,,,,,,,,
59216,2021,01,02,rapid,0.06765,.00009,0.30545,.00009,,,,,rapid,-0.174830,0.000009,,,,,,,,,,,
59217,2021,01,03,rapid,0.06601,.00009,0.30672,.00009,,,,,rapid,-0.174478,0.000011,,,,,,,,,,,
59218,2021,01,04,rapid,0.06387,.00009,0.30778,.00009,,,,,rapid,-0.174333,0.000011,,,,,,,,,,,
59219,2021,01,05,rapid,0.06186,.00009,0.30867,.00009,,,,,rapid,-0.174384,0.000011,,,,,,,,,,,
59220,2021,01,06,rapid,0.06046,.00009,0.30952,.00009,,,,,rapid,-0.174597,0.000011,,,,,,,,,,,
59221,2021,01,07,rapid,0.05949,.00009,0.31033,.00009,,,,,rapid,-0.174879,0.000055,,,,,,,,,,,
59222,2021,01,08,prediction,0.0587,,0.3112,,,,,,prediction,-0.17513,,,,,,,,,,,,
59223,2021,01,09,prediction,0.0579,,0.3121,,,,,,prediction,-0.17521,,,,,,,,,,,,
59224,2021,01,10,prediction,0.0571,,0.3133,,,,,,prediction,-0.17504,,,,,,,,,,,,
59225,2021,01,11,prediction,0.0562,,0.3146,,,,,,prediction,-0.17465,,,,,,,,,,,,
59226,2021,01,12,prediction,0.0550,,0.3158,,,,,,prediction,-0.17412,,,,,,,,,,,,
59227,2021,01,13,prediction,0.0539,,0.3170,,,,,,prediction,-0.17356,,,,,,,,,,,,
