MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
59745,2022,06,15,,,,,,,,,,,,,,,rapid,-109.86,0.74,-9.60,0.14,0.303,0.295,-0.158,0.136
59746,2022,06,16,,,,,,,,,,,,,,,rapid,-109.25,0.74,-9.82,0.14,0.310,0.295,-0.170,0.136
59747,2022,06,17,,,,,,,,,,,,,,,rapid,-108.66,0.74,-9.89,0.14,0.318,0.295,-0.181,0.136
59748,2022,06,18,,,,,,,,,,,,,,,rapid,-108.42,0.88,-9.94,0.23,0.325,0.351,-0.187,0.229
59749,2022,06,19,,,,,,,,,,,,,,,rapid,-108.54,0.88,-9.95,0.23,0.330,0.351,-0.189,0.229
59750,2022,06,20,,,,,,,,,,,,,,,rapid,-108.85,0.85,-9.78,0.19,0.331,0.339,-0.187,0.193
59751,2022,06,21,,,,,,,,,,,,,,,rapid,-109.17,0.84,-9.46,0.17,0.328,0.335,-0.182,0.170
59752,2022,06,22,,,,,,,,,,,,,,,rapid,-109.37,0.66,-9.17,0.14,0.319,0.264,-0.175,0.144
59753,2022,06,23,,,,,,,,,,,,,,,rapid,-109.52,0.66,-9.03,0.14,0.304,0.264,-0.166,0.144
59754,2022,06,24,,,,,,,,,,,,,,,rapid,-109.79,0.66,-8.98,0.14,0.285,0.264,-0.157,0.144
59761,2022,07,01,rapid,0.23003,.00009,0.46087,.00009,,,,,rapid,-0.068643,0.000017,,,,,,,,,,,
59762,2022,07,02,rapid,0.23296,.00009,0.45925,.00009,,,,,rapid,-0.067234,0.000017,,,,,,,,,,,
59763,2022,07,03,rapid,0.23609,.00009,0.45783,.00009,,,,,rapid,-0.065949,0.000018,,,,,,,,,,,
59764,2022,07,04,rapid,0.23914,.00009,0.45654,.00009,,,,,rapid,-0.064907,0.000009,,,,,,,,,,,
59765,2022,07,05,rapid,0.24188,.00009,0.45509,.00009,,,,,rapid,-0.064132,0.000008,,,,,,,,,,,
