MJD,Year,Month,Day,Type,x_pole,sigma_x_pole,y_pole,sigma_y_pole,x_rate,sigma_x_rate,y_rate,sigma_y_rate,Type,UT1-UTC,sigma_UT1-UTC,LOD,sigma_LOD,Type,dPsi,sigma_dPsi,dEpsilon,sigma_dEpsilon,dX,sigma_dX,dY,sigma_dY
60020,2023,03,17,,,,,,,,,,,,,,,rapid,-108.26,0.97,-8.18,0.07,0.320,0.388,-0.076,0.067
60021,2023,03,18,,,,,,,,,,,,,,,rapid,-108.08,0.32,-8.33,0.16,0.306,0.128,-0.079,0.160
60022,2023,03,19,,,,,,,,,,,,,,,rapid,-107.89,0.61,-8.30,0.09,0.292,0.243,-0.083,0.090
60023,2023,03,20,,,,,,,,,,,,,,,rapid,-107.76,0.61,-8.12,0.09,0.276,0.243,-0.086,0.090
60024,2023,03,21,,,,,,,,,,,,,,,rapid,-107.74,0.61,-7.97,0.09,0.260,0.243,-0.090,0.090
60034,2023,03,31,rapid,-.02035,.00009,0.40219,.00009,,,,,rapid,-0.024413,0.000012,,,,,,,,,,,
60035,2023,04,01,rapid,-.01885,.00009,0.40461,.00009,,,,,rapid,-0.024328,0.000012,,,,,,,,,,,
60036,2023,04,02,rapid,-.01730,.00009,0.40738,.00009,,,,,rapid,-0.024399,0.000012,,,,,,,,,,,
60037,2023,04,03,rapid,-.01561,.00009,0.41000,.00009,,,,,rapid,-0.024715,0.000008,,,,,,,,,,,
60038,2023,04,04,rapid,-.01384,.00009,0.41265,.00009,,,,,rapid,-0.025218,0.000007,,,,,,,,,,,
60039,2023,04,05,rapid,-.01224,.00009,0.41546,.00009,,,,,rapid,-0.025822,0.000007,,,,,,,,,,,
60040,2023,04,06,rapid,-.01072,.00009,0.41839,.00009,,,,,rapid,-0.026508,0.000007,,,,,,,,,,,
60041,2023,04,07,prediction,-0.0092,,0.4211,,,,,,prediction,-0.02720,,,,,,,,,,,,
60042,2023,04,08,prediction,-0.0077,,0.4237,,,,,,prediction,-0.02785,,,,,,,,,,,,
60043,2023,04,09,prediction,-0.0061,,0.4261,,,,,,prediction,-0.02836,,,,,,,,,,,,
60044,2023,04,10,prediction,-0.0044,,0.4285,,,,,,prediction,-0.02868,,,,,,,,,,,,
60045,2023,04,11,prediction,-0.0027,,0.4307,,,,,,prediction,-0.02882,,,,,,,,,,,,
60046,2023,04,12,prediction,-0.0010,,0.4329,,,,,,prediction,-0.02880,,,,,,,,,,,,
60047,2023,04,13,prediction,0.0008,,0.4351,,,,,,prediction,-0.02875,,,,,,,,,,,,
60048,2023,04,14,prediction,0.0026,,0.4372,,,,,,prediction,-0.02879,,,,,,,,,,,,
60049,2023,04,15,prediction,0.0045,,0.4393,,,,,,prediction,-0.02904,,,,,,,,,,,,
60050,2023,04,16,prediction,0.0064,,0.4413,,,,,,prediction,-0.02959,,,,,,,,,,,,
60051,2023,04,17,prediction,0.0083,,0.4434,,,,,,prediction,-0.03041,,,,,,,,,,,,
60052,2023,04,18,prediction,0.0102,,0.4454,,,,,,prediction,-0.03137,,,,,,,,,,,,
60053,2023,04,19,prediction,0.0122,,0.4474,,,,,,prediction,-0.03233,,,,,,,,,,,,
60054,2023,04,20,prediction,0.0142,,0.4494,,,,,,prediction,-0.03318,,,,,,,,,,,,
60055,2023,04,21,prediction,0.0162,,0.4513,,,,,,prediction,-0.03378,,,,,,,,,,,,
60056,2023,04,22,prediction,0.0183,,0.4532,,,,,,prediction,-0.03410,,,,,,,,,,,,
60057,2023,04,23,prediction,0.0203,,0.4550,,,,,,prediction,-0.03413,,,,,,,,,,,,
60058,2023,04,24,prediction,0.0224,,0.4568,,,,,,prediction,-0.03392,,,,,,,,,,,,
60059,2023,04,25,prediction,0.0246,,0.4586,,,,,,prediction,-0.03355,,,,,,,,,,,,
60060,2023,04,26,prediction,0.0267,,0.4603,,,,,,prediction,-0.03311,,,,,,,,,,,,
60061,2023,04,27,prediction,0.0289,,0.4620,,,,,,prediction,-0.03270,,,,,,,,,,,,
