MJD,Year,Month,Day,x_pole,y_pole,x_pole_predict,y_pole_predict,a_x_pole_predict,a_y_pole_predict
37665,1962,1,1,-0.0127,0.213,,,,
37666,1962,1,2,-0.0159,0.2141,,,,
37667,1962,1,3,-0.019,0.2152,,,,
37668,1962,1,4,-0.021999,0.216301,,,,
37669,1962,1,5,-0.024799,0.217301,,,,
37670,1962,1,6,-0.027599,0.218301,,,,
37671,1962,1,7,-0.030199,0.219301,,,,
37672,1962,1,8,-0.032798,0.220202,,,,
37673,1962,1,9,-0.035198,0.221102,,,,
37674,1962,1,10,-0.037498,0.222002,,,,
37675,1962,1,11,-0.039697,0.222803,,,,
37676,1962,1,12,-0.041797,0.223703,,,,
37677,1962,1,13,-0.043797,0.224503,,,,
37678,1962,1,14,-0.045697,0.225203,,,,
37679,1962,1,15,-0.047496,0.226004,,,,
37680,1962,1,16,-0.049196,0.226704,,,,
37681,1962,1,17,-0.050796,0.227404,,,,
37682,1962,1,18,-0.052295,0.228005,,,,
37683,1962,1,19,-0.053595,0.228705,,,,
37684,1962,1,20,-0.054895,0.229305,,,,
37685,1962,1,21,-0.055995,0.229905,,,,
37686,1962,1,22,-0.057094,0.230506,,,,
37687,1962,1,23,-0.057994,0.231006,,,,
37688,1962,1,24,-0.058794,0.231606,,,,
37689,1962,1,25,-0.059594,0.232106,,,,
37690,1962,1,26,-0.060193,0.232607,,,,
37691,1962,1,27,-0.060693,0.233207,,,,
37692,1962,1,28,-0.061093,0.233707,,,,
37693,1962,1,29,-0.061392,0.234208,,,,
37694,1962,1,30,-0.061692,0.234708,,,,
37695,1962,1,31,-0.061792,0.235208,,,,
37696,1962,2,1,-0.061792,0.235708,,,,
37697,1962,2,2,-0.061691,0.236209,,,,
37698,1962,2,3,-0.061491,0.236709,,,,
37699,1962,2,4,-0.061191,0.237309,,,,
37700,1962,2,5,-0.060791,0.237809,,,,
37701,1962,2,6,-0.06039,0.23841,,,,
37702,1962,2,7,-0.05979,0.23901,,,,
37703,1962,2,8,-0.05919,0.23961,,,,
37704,1962,2,9,-0.058389,0.240211,,,,
37705,1962,2,10,-0.057589,0.240811,,,,
37706,1962,2,11,-0.056689,0.241511,,,,
37707,1962,2,12,-0.055689,0.242211,,,,
37708,1962,2,13,-0.054588,0.242912,,,,
37709,1962,2,14,-0.053488,0.243612,,,,
37710,1962,2,15,-0.052288,0.244312,,,,
37711,1962,2,16,-0.050988,0.245112,,,,
37712,1962,2,17,-0.049587,0.245813,,,,
37713,1962,2,18,-0.048187,0.246613,,,,
37714,1962,2,19,-0.046687,0.247413,,,,
37715,1962,2,20,-0.045186,0.248214,,,,
37716,1962,2,21,-0.043486,0.249014,,,,
37717,1962,2,22,-0.041786,0.249814,,,,
37718,1962,2,23,-0.040086,0.250614,,,,
37719,1962,2,24,-0.038285,0.251415,,,,
37720,1962,2,25,-0.036385,0.252115,,,,
37721,1962,2,26,-0.034485,0.252915,,,,
37722,1962,2,27,-0.032585,0.253715,,,,
37723,1962,2,28,-0.030584,0.254416,,,,
37724,1962,3,1,-0.028484,0.255116,,,,
37725,1962,3,2,-0.026384,0.255816,,,,
37726,1962,3,3,-0.024283,0.256517,,,,
37727,1962,3,4,-0.022083,0.257117,,,,
37728,1962,3,5,-0.019983,0.257717,,,,
37729,1962,3,6,-0.017683,0.258317,,,,
37730,1962,3,7,-0.015482,0.258818,,,,
37731,1962,3,8,-0.013282,0.259218,,,,
37732,1962,3,9,-0.010982,0.259618,,,,
37733,1962,3,10,-0.008682,0.260018,,,,
37734,1962,3,11,-0.006381,0.260319,,,,
37735,1962,3,12,-0.004081,0.260519,,,,
37736,1962,3,13,-0.001781,0.260719,,,,
37737,1962,3,14,0.00042,0.26082,,,,
37738,1962,3,15,0.00272,0.26092,,,,
37739,1962,3,16,0.00502,0.26092,,,,
37740,1962,3,17,0.00732,0.26082,,,,
37741,1962,3,18,0.009621,0.260621,,,,
37742,1962,3,19,0.011921,0.260421,,,,
37743,1962,3,20,0.014121,0.260121,,,,
37744,1962,3,21,0.016421,0.259721,,,,
37745,1962,3,22,0.018622,0.259322,,,,
37746,1962,3,23,0.020822,0.258822,,,,
37747,1962,3,24,0.023122,0.258222,,,,
37748,1962,3,25,0.025323,0.257623,,,,
37749,1962,3,26,0.027423,0.256923,,,,
37750,1962,3,27,0.029623,0.256123,,,,
37751,1962,3,28,0.031823,0.255323,,,,
37752,1962,3,29,0.033924,0.254424,,,,
37753,1962,3,30,0.036024,0.253524,,,,
37754,1962,3,31,0.038124,0.252524,,,,
37755,1962,4,1,0.040224,0.251524,,,,
37756,1962,4,2,0.042225,0.250525,,,,
37757,1962,4,3,0.044225,0.249425,,,,
37758,1962,4,4,0.046225,0.248325,,,,
37759,1962,4,5,0.048226,0.247126,,,,
37760,1962,4,6,0.050126,0.246026,,,,
37761,1962,4,7,0.052026,0.244826,,,,
37762,1962,4,8,0.053926,0.243626,,,,
37763,1962,4,9,0.055727,0.242427,,,,
37764,1962,4,10,0.057627,0.241227,,,,
37765,1962,4,11,0.059327,0.240027,,,,
37766,1962,4,12,0.061128,0.238828,,,,
37767,1962,4,13,0.062828,0.237628,,,,
37768,1962,4,14,0.064428,0.236428,,,,
37769,1962,4,15,0.066028,0.235228,,,,
37770,1962,4,16,0.067629,0.234029,,,,
37771,1962,4,17,0.069129,0.232929,,,,
37772,1962,4,18,0.070629,0.231729,,,,
37773,1962,4,19,0.072129,0.230629,,,,
37774,1962,4,20,0.07353,0.22953,,,,
37775,1962,4,21,0.07483,0.22843,,,,
37776,1962,4,22,0.07623,0.22733,,,,
37777,1962,4,23,0.077431,0.226231,,,,
37778,1962,4,24,0.078631,0.225231,,,,
37779,1962,4,25,0.079831,0.224131,,,,
37780,1962,4,26,0.080931,0.223131,,,,
37781,1962,4,27,0.082032,0.222132,,,,
37782,1962,4,28,0.083132,0.221132,,,,
37783,1962,4,29,0.084032,0.220132,,,,
37784,1962,4,30,0.085032,0.219132,,,,
37785,1962,5,1,0.085933,0.218133,,,,
37786,1962,5,2,0.086733,0.217133,,,,
37787,1962,5,3,0.087533,0.216033,,,,
37788,1962,5,4,0.088334,0.215034,,,,
37789,1962,5,5,0.089034,0.214034,,,,
37790,1962,5,6,0.089734,0.212934,,,,
37791,1962,5,7,0.090334,0.211834,,,,
37792,1962,5,8,0.090935,0.210735,,,,
37793,1962,5,9,0.091535,0.209635,,,,
37794,1962,5,10,0.092035,0.208435,,,,
37795,1962,5,11,0.092535,0.207235,,,,
37796,1962,5,12,0.092936,0.205936,,,,
37797,1962,5,13,0.093336,0.204636,,,,
37798,1962,5,14,0.093736,0.203336,,,,
37799,1962,5,15,0.094137,0.201937,,,,
37800,1962,5,16,0.094437,0.200437,,,,
37801,1962,5,17,0.094737,0.198937,,,,
37802,1962,5,18,0.095037,0.197437,,,,
37803,1962,5,19,0.095338,0.195738,,,,
37804,1962,5,20,0.095538,0.194138,,,,
37805,1962,5,21,0.095738,0.192338,,,,
37806,1962,5,22,0.095938,0.190638,,,,
37807,1962,5,23,0.096139,0.188739,,,,
37808,1962,5,24,0.096339,0.186839,,,,
37809,1962,5,25,0.096439,0.184939,,,,
37810,1962,5,26,0.09664,0.18294,,,,
37811,1962,5,27,0.09674,0.18094,,,,
37812,1962,5,28,0.09684,0.17884,,,,
37813,1962,5,29,0.09694,0.17674,,,,
37814,1962,5,30,0.097041,0.174641,,,,
37815,1962,5,31,0.097241,0.172441,,,,
37816,1962,6,1,0.097341,0.170241,,,,
37817,1962,6,2,0.097441,0.168041,,,,
37818,1962,6,3,0.097542,0.165842,,,,
37819,1962,6,4,0.097642,0.163642,,,,
37820,1962,6,5,0.097742,0.161442,,,,
37821,1962,6,6,0.097843,0.159243,,,,
37822,1962,6,7,0.097943,0.157043,,,,
37823,1962,6,8,0.098043,0.154843,,,,
37824,1962,6,9,0.098143,0.152643,,,,
37825,1962,6,10,0.098244,0.150544,,,,
37826,1962,6,11,0.098244,0.148444,,,,
37827,1962,6,12,0.098344,0.146344,,,,
37828,1962,6,13,0.098444,0.144344,,,,
37829,1962,6,14,0.098545,0.142345,,,,
37830,1962,6,15,0.098645,0.140345,,,,
37831,1962,6,16,0.098645,0.138445,,,,
37832,1962,6,17,0.098746,0.136546,,,,
37833,1962,6,18,0.098746,0.134746,,,,
37834,1962,6,19,0.098846,0.132946,,,,
37835,1962,6,20,0.098846,0.131246,,,,
37836,1962,6,21,0.098947,0.129547,,,,
37837,1962,6,22,0.098947,0.127947,,,,
37838,1962,6,23,0.098947,0.126347,,,,
37839,1962,6,24,0.098947,0.124847,,,,
37840,1962,6,25,0.098948,0.123348,,,,
37841,1962,6,26,0.098948,0.121948,,,,
37842,1962,6,27,0.098848,0.120548,,,,
37843,1962,6,28,0.098849,0.119249,,,,
37844,1962,6,29,0.098749,0.117949,,,,
37845,1962,6,30,0.098649,0.116749,,,,
37846,1962,7,1,0.098549,0.115549,,,,
37847,1962,7,2,0.09845,0.11445,,,,
37848,1962,7,3,0.09835,0.11335,,,,
37849,1962,7,4,0.09815,0.11235,,,,
37850,1962,7,5,0.097951,0.111351,,,,
37851,1962,7,6,0.097651,0.110351,,,,
37852,1962,7,7,0.097351,0.109351,,,,
37853,1962,7,8,0.097051,0.108451,,,,
37854,1962,7,9,0.096752,0.107552,,,,
37855,1962,7,10,0.096352,0.106652,,,,
37856,1962,7,11,0.095952,0.105852,,,,
37857,1962,7,12,0.095552,0.104952,,,,
37858,1962,7,13,0.095053,0.104153,,,,
37859,1962,7,14,0.094553,0.103253,,,,
37860,1962,7,15,0.094053,0.102353,,,,
37861,1962,7,16,0.093454,0.101554,,,,
37862,1962,7,17,0.092854,0.100654,,,,
37863,1962,7,18,0.092254,0.099754,,,,
37864,1962,7,19,0.091654,0.098854,,,,
37865,1962,7,20,0.090955,0.097855,,,,
37866,1962,7,21,0.090255,0.096855,,,,
37867,1962,7,22,0.089455,0.095855,,,,
37868,1962,7,23,0.088755,0.094855,,,,
37869,1962,7,24,0.087956,0.093756,,,,
37870,1962,7,25,0.087156,0.092656,,,,
37871,1962,7,26,0.086356,0.091556,,,,
37872,1962,7,27,0.085457,0.090357,,,,
37873,1962,7,28,0.084657,0.089157,,,,
37874,1962,7,29,0.083757,0.087957,,,,
37875,1962,7,30,0.082857,0.086657,,,,
37876,1962,7,31,0.081858,0.085358,,,,
37877,1962,8,1,0.080958,0.084058,,,,
37878,1962,8,2,0.079958,0.082658,,,,
37879,1962,8,3,0.079058,0.081358,,,,
37880,1962,8,4,0.078059,0.079959,,,,
37881,1962,8,5,0.076959,0.078559,,,,
37882,1962,8,6,0.075959,0.077159,,,,
37883,1962,8,7,0.07486,0.07576,,,,
37884,1962,8,8,0.07386,0.07436,,,,
37885,1962,8,9,0.07266,0.07296,,,,
37886,1962,8,10,0.07156,0.07146,,,,
37887,1962,8,11,0.070361,0.070061,,,,
37888,1962,8,12,0.069261,0.068661,,,,
37889,1962,8,13,0.067961,0.067261,,,,
37890,1962,8,14,0.066761,0.065861,,,,
37891,1962,8,15,0.065462,0.064462,,,,
37892,1962,8,16,0.064162,0.063162,,,,
37893,1962,8,17,0.062762,0.061762,,,,
37894,1962,8,18,0.061463,0.060463,,,,
37895,1962,8,19,0.060063,0.059163,,,,
37896,1962,8,20,0.058563,0.057863,,,,
37897,1962,8,21,0.057063,0.056663,,,,
37898,1962,8,22,0.055564,0.055464,,,,
37899,1962,8,23,0.054064,0.054264,,,,
37900,1962,8,24,0.052464,0.053164,,,,
37901,1962,8,25,0.050864,0.052164,,,,
37902,1962,8,26,0.049265,0.051065,,,,
37903,1962,8,27,0.047565,0.050165,,,,
37904,1962,8,28,0.045965,0.049265,,,,
37905,1962,8,29,0.044166,0.048366,,,,
37906,1962,8,30,0.042466,0.047566,,,,
37907,1962,8,31,0.040666,0.046866,,,,
37908,1962,9,1,0.038866,0.046166,,,,
37909,1962,9,2,0.037067,0.045567,,,,
37910,1962,9,3,0.035267,0.044967,,,,
37911,1962,9,4,0.033467,0.044467,,,,
37912,1962,9,5,0.031567,0.044067,,,,
37913,1962,9,6,0.029668,0.043668,,,,
37914,1962,9,7,0.027768,0.043368,,,,
37915,1962,9,8,0.025868,0.043168,,,,
37916,1962,9,9,0.023869,0.042969,,,,
37917,1962,9,10,0.021969,0.042869,,,,
37918,1962,9,11,0.019969,0.042769,,,,
37919,1962,9,12,0.017969,0.042769,,,,
37920,1962,9,13,0.01597,0.04277,,,,
37921,1962,9,14,0.01397,0.04287,,,,
37922,1962,9,15,0.01197,0.04307,,,,
37923,1962,9,16,0.00987,0.04317,,,,
37924,1962,9,17,0.007871,0.043471,,,,
37925,1962,9,18,0.005771,0.043671,,,,
37926,1962,9,19,0.003671,0.043971,,,,
37927,1962,9,20,0.001572,0.044272,,,,
37928,1962,9,21,-0.000628,0.044672,,,,
37929,1962,9,22,-0.002728,0.045072,,,,
37930,1962,9,23,-0.004928,0.045472,,,,
37931,1962,9,24,-0.007127,0.045873,,,,
37932,1962,9,25,-0.009427,0.046373,,,,
37933,1962,9,26,-0.011627,0.046873,,,,
37934,1962,9,27,-0.013926,0.047374,,,,
37935,1962,9,28,-0.016226,0.047974,,,,
37936,1962,9,29,-0.018526,0.048474,,,,
37937,1962,9,30,-0.020926,0.049074,,,,
37938,1962,10,1,-0.023225,0.049675,,,,
37939,1962,10,2,-0.025625,0.050375,,,,
37940,1962,10,3,-0.028025,0.050975,,,,
37941,1962,10,4,-0.030425,0.051675,,,,
37942,1962,10,5,-0.032824,0.052376,,,,
37943,1962,10,6,-0.035224,0.053176,,,,
37944,1962,10,7,-0.037724,0.053976,,,,
37945,1962,10,8,-0.040123,0.054777,,,,
37946,1962,10,9,-0.042523,0.055577,,,,
37947,1962,10,10,-0.044923,0.056477,,,,
37948,1962,10,11,-0.047323,0.057377,,,,
37949,1962,10,12,-0.049722,0.058278,,,,
37950,1962,10,13,-0.052122,0.059278,,,,
37951,1962,10,14,-0.054422,0.060278,,,,
37952,1962,10,15,-0.056822,0.061378,,,,
37953,1962,10,16,-0.059121,0.062479,,,,
37954,1962,10,17,-0.061321,0.063579,,,,
37955,1962,10,18,-0.063521,0.064779,,,,
37956,1962,10,19,-0.06572,0.06608,,,,
37957,1962,10,20,-0.06792,0.06728,,,,
37958,1962,10,21,-0.07002,0.06868,,,,
37959,1962,10,22,-0.07202,0.06998,,,,
37960,1962,10,23,-0.074019,0.071381,,,,
37961,1962,10,24,-0.076019,0.072881,,,,
37962,1962,10,25,-0.077919,0.074381,,,,
37963,1962,10,26,-0.079819,0.075881,,,,
37964,1962,10,27,-0.081618,0.077482,,,,
37965,1962,10,28,-0.083318,0.079082,,,,
37966,1962,10,29,-0.085018,0.080682,,,,
37967,1962,10,30,-0.086717,0.082383,,,,
37968,1962,10,31,-0.088317,0.084083,,,,
37969,1962,11,1,-0.089817,0.085783,,,,
37970,1962,11,2,-0.091317,0.087583,,,,
37971,1962,11,3,-0.092816,0.089284,,,,
37972,1962,11,4,-0.094216,0.091084,,,,
37973,1962,11,5,-0.095616,0.092884,,,,
37974,1962,11,6,-0.096916,0.094684,,,,
37975,1962,11,7,-0.098215,0.096585,,,,
37976,1962,11,8,-0.099515,0.098385,,,,
37977,1962,11,9,-0.100715,0.100285,,,,
37978,1962,11,10,-0.101914,0.102186,,,,
37979,1962,11,11,-0.103114,0.104086,,,,
37980,1962,11,12,-0.104314,0.105986,,,,
37981,1962,11,13,-0.105514,0.107886,,,,
37982,1962,11,14,-0.106813,0.109787,,,,
37983,1962,11,15,-0.108013,0.111787,,,,
37984,1962,11,16,-0.109213,0.113687,,,,
37985,1962,11,17,-0.110413,0.115687,,,,
37986,1962,11,18,-0.111712,0.117688,,,,
37987,1962,11,19,-0.113012,0.119788,,,,
37988,1962,11,20,-0.114312,0.121788,,,,
37989,1962,11,21,-0.115711,0.123889,,,,
37990,1962,11,22,-0.117111,0.125889,,,,
37991,1962,11,23,-0.118511,0.127989,,,,
37992,1962,11,24,-0.120011,0.130089,,,,
37993,1962,11,25,-0.12151,0.13229,,,,
37994,1962,11,26,-0.12311,0.13439,,,,
37995,1962,11,27,-0.12471,0.13659,,,,
37996,1962,11,28,-0.12641,0.13869,,,,
37997,1962,11,29,-0.128209,0.140891,,,,
37998,1962,11,30,-0.130009,0.143091,,,,
37999,1962,12,1,-0.131809,0.145391,,,,
38000,1962,12,2,-0.133708,0.147592,,,,
38001,1962,12,3,-0.135608,0.149892,,,,
38002,1962,12,4,-0.137608,0.152092,,,,
38003,1962,12,5,-0.139608,0.154392,,,,
38004,1962,12,6,-0.141707,0.156693,,,,
38005,1962,12,7,-0.143807,0.158993,,,,
38006,1962,12,8,-0.146007,0.161293,,,,
38007,1962,12,9,-0.148107,0.163693,,,,
38008,1962,12,10,-0.150306,0.165994,,,,
38009,1962,12,11,-0.152506,0.168394,,,,
38010,1962,12,12,-0.154806,0.170694,,,,
38011,1962,12,13,-0.157005,0.173095,,,,
38012,1962,12,14,-0.159305,0.175495,,,,
38013,1962,12,15,-0.161505,0.177895,,,,
38014,1962,12,16,-0.163805,0.180295,,,,
38015,1962,12,17,-0.166004,0.182696,,,,
38016,1962,12,18,-0.168204,0.185096,,,,
38017,1962,12,19,-0.170404,0.187496,,,,
38018,1962,12,20,-0.172603,0.189897,,,,
38019,1962,12,21,-0.174803,0.192297,,,,
38020,1962,12,22,-0.176903,0.194697,,,,
38021,1962,12,23,-0.179003,0.196997,,,,
38022,1962,12,24,-0.181102,0.199398,,,,
38023,1962,12,25,-0.183102,0.201798,,,,
38024,1962,12,26,-0.185002,0.204198,,,,
38025,1962,12,27,-0.186902,0.206598,,,,
38026,1962,12,28,-0.188801,0.208999,,,,
38027,1962,12,29,-0.190501,0.211299,,,,
38028,1962,12,30,-0.192201,0.213699,,,,
38029,1962,12,31,-0.1938,0.216,,,,
38030,1963,1,1,-0.1954,0.2184,,,,
38031,1963,1,2,-0.1968,0.2207,,,,
38032,1963,1,3,-0.1981,0.2231,,,,
38033,1963,1,4,-0.199399,0.225401,,,,
38034,1963,1,5,-0.200499,0.227701,,,,
38035,1963,1,6,-0.201599,0.230001,,,,
38036,1963,1,7,-0.202499,0.232401,,,,
38037,1963,1,8,-0.203298,0.234702,,,,
38038,1963,1,9,-0.203998,0.236902,,,,
38039,1963,1,10,-0.204498,0.239202,,,,
38040,1963,1,11,-0.204997,0.241503,,,,
38041,1963,1,12,-0.205297,0.243803,,,,
38042,1963,1,13,-0.205497,0.246003,,,,
38043,1963,1,14,-0.205597,0.248303,,,,
38044,1963,1,15,-0.205496,0.250504,,,,
38045,1963,1,16,-0.205396,0.252704,,,,
38046,1963,1,17,-0.205096,0.254904,,,,
38047,1963,1,18,-0.204796,0.257104,,,,
38048,1963,1,19,-0.204295,0.259305,,,,
38049,1963,1,20,-0.203695,0.261405,,,,
38050,1963,1,21,-0.202995,0.263505,,,,
38051,1963,1,22,-0.202194,0.265606,,,,
38052,1963,1,23,-0.201294,0.267606,,,,
38053,1963,1,24,-0.200394,0.269606,,,,
